NodeKey,OrderIndex,BlockType,ContentText,ContentUrl,MetadataJson
c1b1,1,Heading,# Bài 1. Tập hợp,,
c1b1,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được khái niệm tập hợp, phần tử, cách cho một tập hợp.",,
c1b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b2,1,Heading,# Bài 2. Tập hợp các số tự nhiên,,
c1b2,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được tập ℕ, ℕ*, thứ tự, ghi số tự nhiên, số La Mã.",,
c1b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b3,1,Heading,"# Bài 3. Phép cộng, phép trừ các số tự nhiên",,
c1b3,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được phép cộng, phép trừ và tính chất.",,
c1b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b4,1,Heading,"# Bài 4. Phép nhân, phép chia các số tự nhiên",,
c1b4,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được phép nhân, phép chia hết, phép chia có dư.",,
c1b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b5,1,Heading,# Bài 5. Phép tính luỹ thừa với số mũ tự nhiên,,
c1b5,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được luỹ thừa, nhân và chia hai luỹ thừa cùng cơ số.",,
c1b5,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b6,1,Heading,# Bài 6. Thứ tự thực hiện các phép tính,,
c1b6,2,Text,Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được quy tắc tính giá trị biểu thức.,,
c1b6,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b7,1,Heading,# Bài 7. Quan hệ chia hết. Tính chất chia hết,,
c1b7,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được quan hệ chia hết, tính chất chia hết của một tổng.",,
c1b7,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b8,1,Heading,"# Bài 8. Dấu hiệu chia hết cho 2, cho 5",,
c1b8,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được nhận biết số chia hết cho 2, cho 5.",,
c1b8,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b9,1,Heading,"# Bài 9. Dấu hiệu chia hết cho 3, cho 9",,
c1b9,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được nhận biết số chia hết cho 3, cho 9.",,
c1b9,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b10,1,Heading,# Bài 10. Số nguyên tố. Hợp số,,
c1b10,2,Text,Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được phân biệt số nguyên tố và hợp số.,,
c1b10,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b11,1,Heading,# Bài 11. Phân tích một số ra thừa số nguyên tố,,
c1b11,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được sơ đồ cây, sơ đồ cột.",,
c1b11,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b12,1,Heading,# Bài 12. Ước chung và ước chung lớn nhất,,
c1b12,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được ƯC, ƯCLN và rút gọn phân số.",,
c1b12,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b13,1,Heading,# Bài 13. Bội chung và bội chung nhỏ nhất,,
