ExerciseKey,QuestionKey,Score
cd6-ex-c1-lt,cd6-c1-01,1
cd6-ex-c1-lt,cd6-c1-02,1
cd6-ex-c1-lt,cd6-c1-03,1
cd6-ex-c1-lt,cd6-c1-04,1
cd6-ex-c1-lt,cd6-c1-05,1
cd6-ex-c1-lt,cd6-c1-06,1
cd6-ex-c1-lt,cd6-c1-07,1
cd6-ex-c1-lt,cd6-c1-08,1
cd6-ex-c1-kt,cd6-c1-01,1
cd6-ex-c1-kt,cd6-c1-02,1
cd6-ex-c1-kt,cd6-c1-03,1
cd6-ex-c1-kt,cd6-c1-04,1
cd6-ex-c1-kt,cd6-c1-05,1
cd6-ex-c1-kt,cd6-c1-06,1
cd6-ex-c1-kt,cd6-c1-07,1
cd6-ex-c1-kt,cd6-c1-08,1
cd6-ex-c2-lt,cd6-c2-01,1
cd6-ex-c2-lt,cd6-c2-02,1
cd6-ex-c2-lt,cd6-c2-03,1
cd6-ex-c2-lt,cd6-c2-04,1
cd6-ex-c2-lt,cd6-c2-05,1
cd6-ex-c2-lt,cd6-c2-06,1
cd6-ex-c2-lt,cd6-c2-07,1
cd6-ex-c2-lt,cd6-c2-08,1
cd6-ex-c2-kt,cd6-c2-01,1
cd6-ex-c2-kt,cd6-c2-02,1
cd6-ex-c2-kt,cd6-c2-03,1
cd6-ex-c2-kt,cd6-c2-04,1
cd6-ex-c2-kt,cd6-c2-05,1
cd6-ex-c2-kt,cd6-c2-06,1
cd6-ex-c2-kt,cd6-c2-07,1
cd6-ex-c2-kt,cd6-c2-08,1
cd6-ex-c3-lt,cd6-c3-01,1
cd6-ex-c3-lt,cd6-c3-02,1
cd6-ex-c3-lt,cd6-c3-03,1
cd6-ex-c3-lt,cd6-c3-04,1
cd6-ex-c3-lt,cd6-c3-05,1
cd6-ex-c3-lt,cd6-c3-06,1
cd6-ex-c3-lt,cd6-c3-07,1
cd6-ex-c3-lt,cd6-c3-08,1
cd6-ex-c3-kt,cd6-c3-01,1
cd6-ex-c3-kt,cd6-c3-02,1
cd6-ex-c3-kt,cd6-c3-03,1
cd6-ex-c3-kt,cd6-c3-04,1
cd6-ex-c3-kt,cd6-c3-05,1
cd6-ex-c3-kt,cd6-c3-06,1
cd6-ex-c3-kt,cd6-c3-07,1
cd6-ex-c3-kt,cd6-c3-08,1
cd6-ex-c4-lt,cd6-c4-01,1
cd6-ex-c4-lt,cd6-c4-02,1
cd6-ex-c4-lt,cd6-c4-03,1
cd6-ex-c4-lt,cd6-c4-04,1
cd6-ex-c4-lt,cd6-c4-05,1
cd6-ex-c4-lt,cd6-c4-06,1
cd6-ex-c4-lt,cd6-c4-07,1
cd6-ex-c4-lt,cd6-c4-08,1
cd6-ex-c4-kt,cd6-c4-01,1
cd6-ex-c4-kt,cd6-c4-02,1
cd6-ex-c4-kt,cd6-c4-03,1
cd6-ex-c4-kt,cd6-c4-04,1
cd6-ex-c4-kt,cd6-c4-05,1
cd6-ex-c4-kt,cd6-c4-06,1
cd6-ex-c4-kt,cd6-c4-07,1
cd6-ex-c4-kt,cd6-c4-08,1
cd6-ex-c5-lt,cd6-c5-01,1
cd6-ex-c5-lt,cd6-c5-02,1
cd6-ex-c5-lt,cd6-c5-03,1
cd6-ex-c5-lt,cd6-c5-04,1
cd6-ex-c5-lt,cd6-c5-05,1
cd6-ex-c5-lt,cd6-c5-06,1
cd6-ex-c5-lt,cd6-c5-07,1
cd6-ex-c5-lt,cd6-c5-08,1
cd6-ex-c5-kt,cd6-c5-01,1
cd6-ex-c5-kt,cd6-c5-02,1
cd6-ex-c5-kt,cd6-c5-03,1
cd6-ex-c5-kt,cd6-c5-04,1
cd6-ex-c5-kt,cd6-c5-05,1
cd6-ex-c5-kt,cd6-c5-06,1
cd6-ex-c5-kt,cd6-c5-07,1
cd6-ex-c5-kt,cd6-c5-08,1
cd6-ex-c6-lt,cd6-c6-01,1
cd6-ex-c6-lt,cd6-c6-02,1
cd6-ex-c6-lt,cd6-c6-03,1
cd6-ex-c6-lt,cd6-c6-04,1
cd6-ex-c6-lt,cd6-c6-05,1
cd6-ex-c6-lt,cd6-c6-06,1
cd6-ex-c6-lt,cd6-c6-07,1
cd6-ex-c6-lt,cd6-c6-08,1
cd6-ex-c6-kt,cd6-c6-01,1
cd6-ex-c6-kt,cd6-c6-02,1
cd6-ex-c6-kt,cd6-c6-03,1
cd6-ex-c6-kt,cd6-c6-04,1
cd6-ex-c6-kt,cd6-c6-05,1
cd6-ex-c6-kt,cd6-c6-06,1
cd6-ex-c6-kt,cd6-c6-07,1
cd6-ex-c6-kt,cd6-c6-08,1
