QuestionKey,OrderIndex,OptionText,IsCorrect
cd6-c1-01,1,745,false
cd6-c1-01,2,758,false
cd6-c1-01,3,753,true
cd6-c1-01,4,747,false
cd6-c1-02,1,Đúng,true
cd6-c1-02,2,Sai,false
cd6-c1-04,1,84,false
cd6-c1-04,2,81,true
cd6-c1-04,3,12,false
cd6-c1-04,4,78,false
cd6-c1-05,1,Đúng,true
cd6-c1-05,2,Sai,false
cd6-c1-06,1,15,false
cd6-c1-06,2,12,false
cd6-c1-06,3,8,false
cd6-c1-06,4,2,true
cd6-c1-08,1,9,false
cd6-c1-08,2,1,true
cd6-c1-08,3,-1,false
cd6-c1-08,4,-3,false
cd6-c2-01,1,20,false
cd6-c2-01,2,25,true
cd6-c2-01,3,31,false
cd6-c2-01,4,21,false
cd6-c2-02,1,Đúng,true
cd6-c2-02,2,Sai,false
cd6-c2-04,1,7°C,false
cd6-c2-04,2,6°C,true
cd6-c2-04,3,-14°C,false
cd6-c2-04,4,-4°C,false
cd6-c2-05,1,-57,false
cd6-c2-05,2,-64,true
cd6-c2-05,3,-60,false
cd6-c2-05,4,-67,false
cd6-c2-06,1,Đúng,true
cd6-c2-06,2,Sai,false
cd6-c2-08,1,-10°C,false
cd6-c2-08,2,11°C,false
cd6-c2-08,3,-11°C,true
cd6-c2-08,4,0°C,false
cd6-c3-01,1,22 cm²,false
cd6-c3-01,2,117 cm²,true
cd6-c3-01,3,130 cm²,false
cd6-c3-01,4,44 cm²,false
cd6-c3-02,1,Đúng,true
cd6-c3-02,2,Sai,false
cd6-c3-04,1,256 cm²,false
cd6-c3-04,2,136 cm²,false
cd6-c3-04,3,40 cm²,false
cd6-c3-04,4,128 cm²,true
cd6-c3-05,1,3,false
cd6-c3-05,2,1,false
cd6-c3-05,3,2,true
cd6-c3-05,4,4,false
cd6-c3-06,1,Đúng,true
cd6-c3-06,2,Sai,false
cd6-c3-07,1,Đúng,true
cd6-c3-07,2,Sai,false
cd6-c4-02,1,28,true
cd6-c4-02,2,10,false
cd6-c4-02,3,38,false
cd6-c4-02,4,26,false
cd6-c4-03,1,Đúng,true
cd6-c4-03,2,Sai,false
cd6-c4-04,1,Khoa học,false
cd6-c4-04,2,Toán,true
cd6-c4-04,3,Anh,false
cd6-c4-04,4,Thể dục,false
cd6-c4-06,1,28,true
cd6-c4-06,2,8,false
cd6-c4-06,3,26,false
cd6-c4-06,4,36,false
cd6-c4-07,1,Đúng,false
cd6-c4-07,2,Sai,true
cd6-c4-08,1,Anh,false
cd6-c4-08,2,Văn,false
cd6-c4-08,3,Khoa học,false
cd6-c4-08,4,Toán,true
cd6-c5-02,1,Bằng nhau,false
cd6-c5-02,2,7/8,true
cd6-c5-02,3,1/8,false
cd6-c5-03,1,8/28,false
cd6-c5-03,2,16/14,false
cd6-c5-03,3,2/7,true
cd6-c5-03,4,6/11,false
cd6-c5-04,1,Đúng,false
cd6-c5-04,2,Sai,true
cd6-c5-05,1,"21,1",false
cd6-c5-05,2,22,false
cd6-c5-05,3,21,true
cd6-c5-05,4,20,false
cd6-c5-07,1,"57,5",true
cd6-c5-07,2,"107,5",false
cd6-c5-07,3,"58,5",false
cd6-c5-07,4,115,false
cd6-c5-08,1,Đúng,true
cd6-c5-08,2,Sai,false
cd6-c6-01,1,Góc vuông,false
cd6-c6-01,2,Góc bẹt,false
cd6-c6-01,3,Góc nhọn,false
cd6-c6-01,4,Góc tù,true
cd6-c6-03,1,Đúng,true
cd6-c6-03,2,Sai,false
cd6-c6-04,1,137°,true
cd6-c6-04,2,180°,false
cd6-c6-04,3,147°,false
cd6-c6-04,4,43°,false
cd6-c6-05,1,Góc vuông,false
cd6-c6-05,2,Góc nhọn,false
cd6-c6-05,3,Góc tù,true
cd6-c6-05,4,Góc bẹt,false
cd6-c6-07,1,Đúng,true
cd6-c6-07,2,Sai,false
cd6-c6-08,1,30°,true
cd6-c6-08,2,90°,false
cd6-c6-08,3,60°,false
cd6-c6-08,4,40°,false
