NodeKey,OrderIndex,BlockType,ContentText,ContentUrl,MetadataJson
c1b1,1,Heading,# Bài 1. Tập hợp. Phần tử của tập hợp,,
c1b1,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được khái niệm tập hợp, phần tử, hai cách mô tả tập hợp.",,
c1b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b2,1,Heading,# Bài 2. Tập hợp số tự nhiên. Ghi số tự nhiên,,
c1b2,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được tập hợp ℕ và ℕ*, hệ thập phân, số La Mã.",,
c1b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b3,1,Heading,# Bài 3. Các phép tính trong tập hợp số tự nhiên,,
c1b3,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được cộng, trừ, nhân, chia và các tính chất.",,
c1b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b4,1,Heading,# Bài 4. Luỹ thừa với số mũ tự nhiên,,
c1b4,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được định nghĩa luỹ thừa, nhân và chia hai luỹ thừa cùng cơ số.",,
c1b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b5,1,Heading,# Bài 5. Thứ tự thực hiện các phép tính,,
c1b5,2,Text,Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được quy tắc với biểu thức có/không có dấu ngoặc.,,
c1b5,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b6,1,Heading,# Bài 6. Chia hết và chia có dư. Tính chất chia hết của một tổng,,
c1b6,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được quan hệ chia hết, phép chia có dư, tính chất chia hết của tổng, hiệu.",,
c1b6,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b7,1,Heading,"# Bài 7. Dấu hiệu chia hết cho 2, cho 5",,
c1b7,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được nhận biết số chia hết cho 2, cho 5.",,
c1b7,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b8,1,Heading,"# Bài 8. Dấu hiệu chia hết cho 3, cho 9",,
c1b8,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được nhận biết số chia hết cho 3, cho 9.",,
c1b8,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b9,1,Heading,# Bài 9. Ước và bội,,
c1b9,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được khái niệm ước, bội và cách tìm.",,
c1b9,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b10,1,Heading,# Bài 10. Số nguyên tố. Hợp số. Phân tích một số ra thừa số nguyên tố,,
c1b10,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được số nguyên tố, hợp số, sơ đồ cây.",,
c1b10,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b11,1,Heading,# Bài 11. Ước chung. Ước chung lớn nhất,,
c1b11,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được ƯC, ƯCLN và cách tìm bằng phân tích ra thừa số nguyên tố.",,
c1b11,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c1b12,1,Heading,# Bài 12. Bội chung. Bội chung nhỏ nhất,,
c1b12,2,Text,"Bài học thuộc **Chương 1. Số tự nhiên**. Mục tiêu: nắm được BC, BCNN và ứng dụng quy đồng, bài toán thực tế.",,
c1b12,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c2b1,1,Heading,# Bài 1. Số nguyên âm và tập hợp các số nguyên,,
c2b1,2,Text,"Bài học thuộc **Chương 2. Số nguyên**. Mục tiêu: nắm được số nguyên âm, tập hợp ℤ, biểu diễn trên trục số.",,
c2b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c2b2,1,Heading,# Bài 2. Thứ tự trong tập hợp số nguyên,,
c2b2,2,Text,"Bài học thuộc **Chương 2. Số nguyên**. Mục tiêu: nắm được so sánh hai số nguyên, giá trị tuyệt đối.",,
c2b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c2b3,1,Heading,# Bài 3. Phép cộng các số nguyên,,
c2b3,2,Text,"Bài học thuộc **Chương 2. Số nguyên**. Mục tiêu: nắm được cộng hai số nguyên cùng dấu, khác dấu và tính chất.",,
c2b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
