ExerciseKey,QuestionKey,Score
ctst6-ex-c1-lt,ctst6-c1-01,1
ctst6-ex-c1-lt,ctst6-c1-02,1
ctst6-ex-c1-lt,ctst6-c1-03,1
ctst6-ex-c1-lt,ctst6-c1-04,1
ctst6-ex-c1-lt,ctst6-c1-05,1
ctst6-ex-c1-lt,ctst6-c1-06,1
ctst6-ex-c1-lt,ctst6-c1-07,1
ctst6-ex-c1-lt,ctst6-c1-08,1
ctst6-ex-c1-kt,ctst6-c1-01,1
ctst6-ex-c1-kt,ctst6-c1-02,1
ctst6-ex-c1-kt,ctst6-c1-03,1
ctst6-ex-c1-kt,ctst6-c1-04,1
ctst6-ex-c1-kt,ctst6-c1-05,1
ctst6-ex-c1-kt,ctst6-c1-06,1
ctst6-ex-c1-kt,ctst6-c1-07,1
ctst6-ex-c1-kt,ctst6-c1-08,1
ctst6-ex-c2-lt,ctst6-c2-01,1
ctst6-ex-c2-lt,ctst6-c2-02,1
ctst6-ex-c2-lt,ctst6-c2-03,1
ctst6-ex-c2-lt,ctst6-c2-04,1
ctst6-ex-c2-lt,ctst6-c2-05,1
ctst6-ex-c2-lt,ctst6-c2-06,1
ctst6-ex-c2-lt,ctst6-c2-07,1
ctst6-ex-c2-lt,ctst6-c2-08,1
ctst6-ex-c2-kt,ctst6-c2-01,1
ctst6-ex-c2-kt,ctst6-c2-02,1
ctst6-ex-c2-kt,ctst6-c2-03,1
ctst6-ex-c2-kt,ctst6-c2-04,1
ctst6-ex-c2-kt,ctst6-c2-05,1
ctst6-ex-c2-kt,ctst6-c2-06,1
ctst6-ex-c2-kt,ctst6-c2-07,1
ctst6-ex-c2-kt,ctst6-c2-08,1
ctst6-ex-c3-lt,ctst6-c3-01,1
ctst6-ex-c3-lt,ctst6-c3-02,1
ctst6-ex-c3-lt,ctst6-c3-03,1
ctst6-ex-c3-lt,ctst6-c3-04,1
ctst6-ex-c3-lt,ctst6-c3-05,1
ctst6-ex-c3-lt,ctst6-c3-06,1
ctst6-ex-c3-lt,ctst6-c3-07,1
ctst6-ex-c3-lt,ctst6-c3-08,1
ctst6-ex-c3-kt,ctst6-c3-01,1
ctst6-ex-c3-kt,ctst6-c3-02,1
ctst6-ex-c3-kt,ctst6-c3-03,1
ctst6-ex-c3-kt,ctst6-c3-04,1
ctst6-ex-c3-kt,ctst6-c3-05,1
ctst6-ex-c3-kt,ctst6-c3-06,1
ctst6-ex-c3-kt,ctst6-c3-07,1
ctst6-ex-c3-kt,ctst6-c3-08,1
ctst6-ex-c4-lt,ctst6-c4-01,1
ctst6-ex-c4-lt,ctst6-c4-02,1
ctst6-ex-c4-lt,ctst6-c4-03,1
ctst6-ex-c4-lt,ctst6-c4-04,1
ctst6-ex-c4-lt,ctst6-c4-05,1
ctst6-ex-c4-lt,ctst6-c4-06,1
ctst6-ex-c4-lt,ctst6-c4-07,1
ctst6-ex-c4-lt,ctst6-c4-08,1
ctst6-ex-c4-kt,ctst6-c4-01,1
ctst6-ex-c4-kt,ctst6-c4-02,1
ctst6-ex-c4-kt,ctst6-c4-03,1
ctst6-ex-c4-kt,ctst6-c4-04,1
ctst6-ex-c4-kt,ctst6-c4-05,1
ctst6-ex-c4-kt,ctst6-c4-06,1
ctst6-ex-c4-kt,ctst6-c4-07,1
ctst6-ex-c4-kt,ctst6-c4-08,1
ctst6-ex-c5-lt,ctst6-c5-01,1
ctst6-ex-c5-lt,ctst6-c5-02,1
ctst6-ex-c5-lt,ctst6-c5-03,1
ctst6-ex-c5-lt,ctst6-c5-04,1
ctst6-ex-c5-lt,ctst6-c5-05,1
ctst6-ex-c5-lt,ctst6-c5-06,1
ctst6-ex-c5-lt,ctst6-c5-07,1
ctst6-ex-c5-lt,ctst6-c5-08,1
ctst6-ex-c5-kt,ctst6-c5-01,1
ctst6-ex-c5-kt,ctst6-c5-02,1
ctst6-ex-c5-kt,ctst6-c5-03,1
ctst6-ex-c5-kt,ctst6-c5-04,1
ctst6-ex-c5-kt,ctst6-c5-05,1
ctst6-ex-c5-kt,ctst6-c5-06,1
ctst6-ex-c5-kt,ctst6-c5-07,1
ctst6-ex-c5-kt,ctst6-c5-08,1
ctst6-ex-c6-lt,ctst6-c6-01,1
ctst6-ex-c6-lt,ctst6-c6-02,1
ctst6-ex-c6-lt,ctst6-c6-03,1
ctst6-ex-c6-lt,ctst6-c6-04,1
ctst6-ex-c6-lt,ctst6-c6-05,1
ctst6-ex-c6-lt,ctst6-c6-06,1
ctst6-ex-c6-lt,ctst6-c6-07,1
ctst6-ex-c6-lt,ctst6-c6-08,1
ctst6-ex-c6-kt,ctst6-c6-01,1
ctst6-ex-c6-kt,ctst6-c6-02,1
ctst6-ex-c6-kt,ctst6-c6-03,1
ctst6-ex-c6-kt,ctst6-c6-04,1
ctst6-ex-c6-kt,ctst6-c6-05,1
ctst6-ex-c6-kt,ctst6-c6-06,1
ctst6-ex-c6-kt,ctst6-c6-07,1
ctst6-ex-c6-kt,ctst6-c6-08,1
ctst6-ex-c7-lt,ctst6-c7-01,1
ctst6-ex-c7-lt,ctst6-c7-02,1
ctst6-ex-c7-lt,ctst6-c7-03,1
ctst6-ex-c7-lt,ctst6-c7-04,1
ctst6-ex-c7-lt,ctst6-c7-05,1
ctst6-ex-c7-lt,ctst6-c7-06,1
ctst6-ex-c7-lt,ctst6-c7-07,1
ctst6-ex-c7-lt,ctst6-c7-08,1
ctst6-ex-c7-kt,ctst6-c7-01,1
ctst6-ex-c7-kt,ctst6-c7-02,1
ctst6-ex-c7-kt,ctst6-c7-03,1
ctst6-ex-c7-kt,ctst6-c7-04,1
ctst6-ex-c7-kt,ctst6-c7-05,1
ctst6-ex-c7-kt,ctst6-c7-06,1
ctst6-ex-c7-kt,ctst6-c7-07,1
ctst6-ex-c7-kt,ctst6-c7-08,1
ctst6-ex-c8-lt,ctst6-c8-01,1
ctst6-ex-c8-lt,ctst6-c8-02,1
ctst6-ex-c8-lt,ctst6-c8-03,1
ctst6-ex-c8-lt,ctst6-c8-04,1
ctst6-ex-c8-lt,ctst6-c8-05,1
ctst6-ex-c8-lt,ctst6-c8-06,1
ctst6-ex-c8-lt,ctst6-c8-07,1
ctst6-ex-c8-lt,ctst6-c8-08,1
ctst6-ex-c8-kt,ctst6-c8-01,1
ctst6-ex-c8-kt,ctst6-c8-02,1
ctst6-ex-c8-kt,ctst6-c8-03,1
ctst6-ex-c8-kt,ctst6-c8-04,1
ctst6-ex-c8-kt,ctst6-c8-05,1
ctst6-ex-c8-kt,ctst6-c8-06,1
ctst6-ex-c8-kt,ctst6-c8-07,1
ctst6-ex-c8-kt,ctst6-c8-08,1
ctst6-ex-c9-lt,ctst6-c9-01,1
ctst6-ex-c9-lt,ctst6-c9-02,1
ctst6-ex-c9-lt,ctst6-c9-03,1
ctst6-ex-c9-lt,ctst6-c9-04,1
ctst6-ex-c9-lt,ctst6-c9-05,1
ctst6-ex-c9-lt,ctst6-c9-06,1
ctst6-ex-c9-lt,ctst6-c9-07,1
ctst6-ex-c9-lt,ctst6-c9-08,1
ctst6-ex-c9-kt,ctst6-c9-01,1
ctst6-ex-c9-kt,ctst6-c9-02,1
ctst6-ex-c9-kt,ctst6-c9-03,1
ctst6-ex-c9-kt,ctst6-c9-04,1
ctst6-ex-c9-kt,ctst6-c9-05,1
ctst6-ex-c9-kt,ctst6-c9-06,1
ctst6-ex-c9-kt,ctst6-c9-07,1
