QuestionKey,OrderIndex,OptionText,IsCorrect
ctst6-c1-01,1,681,false
ctst6-c1-01,2,685,false
ctst6-c1-01,3,690,false
ctst6-c1-01,4,684,true
ctst6-c1-02,1,Đúng,false
ctst6-c1-02,2,Sai,true
ctst6-c1-04,1,24,false
ctst6-c1-04,2,30,false
ctst6-c1-04,3,9,false
ctst6-c1-04,4,27,true
ctst6-c1-05,1,Đúng,false
ctst6-c1-05,2,Sai,true
ctst6-c1-06,1,12,false
ctst6-c1-06,2,27,false
ctst6-c1-06,3,21,false
ctst6-c1-06,4,23,true
ctst6-c1-08,1,9,false
ctst6-c1-08,2,3,false
ctst6-c1-08,3,1,true
ctst6-c1-08,4,4,false
ctst6-c2-01,1,-3,false
ctst6-c2-01,2,5,false
ctst6-c2-01,3,0,true
ctst6-c2-01,4,-4,false
ctst6-c2-02,1,Đúng,false
ctst6-c2-02,2,Sai,true
ctst6-c2-04,1,5°C,true
ctst6-c2-04,2,6°C,false
ctst6-c2-04,3,-3°C,false
ctst6-c2-04,4,-11°C,false
ctst6-c2-05,1,8,false
ctst6-c2-05,2,9,false
ctst6-c2-05,3,16,true
ctst6-c2-05,4,11,false
ctst6-c2-06,1,Đúng,false
ctst6-c2-06,2,Sai,true
ctst6-c2-08,1,-8°C,false
ctst6-c2-08,2,-14°C,true
ctst6-c2-08,3,-2°C,false
ctst6-c2-08,4,-13°C,false
ctst6-c3-01,1,25 cm²,false
ctst6-c3-01,2,156 cm²,true
ctst6-c3-01,3,169 cm²,false
ctst6-c3-01,4,50 cm²,false
ctst6-c3-02,1,Đúng,true
ctst6-c3-02,2,Sai,false
ctst6-c3-04,1,160 cm²,true
ctst6-c3-04,2,320 cm²,false
ctst6-c3-04,3,170 cm²,false
ctst6-c3-04,4,42 cm²,false
ctst6-c3-05,1,180 cm²,false
ctst6-c3-05,2,26 cm²,false
ctst6-c3-05,3,165 cm²,true
ctst6-c3-05,4,52 cm²,false
ctst6-c3-06,1,Đúng,true
ctst6-c3-06,2,Sai,false
ctst6-c3-08,1,120 cm²,false
ctst6-c3-08,2,70 cm²,false
ctst6-c3-08,3,60 cm²,true
ctst6-c3-08,4,22 cm²,false
ctst6-c4-02,1,28,false
ctst6-c4-02,2,10,false
ctst6-c4-02,3,30,true
ctst6-c4-02,4,40,false
ctst6-c4-03,1,Đúng,true
ctst6-c4-03,2,Sai,false
ctst6-c4-04,1,Khoa học,false
ctst6-c4-04,2,Anh,true
ctst6-c4-04,3,Văn,false
ctst6-c4-04,4,Toán,false
ctst6-c4-06,1,38,true
ctst6-c4-06,2,49,false
ctst6-c4-06,3,11,false
ctst6-c4-06,4,36,false
ctst6-c4-07,1,Đúng,false
ctst6-c4-07,2,Sai,true
ctst6-c4-08,1,Anh,true
ctst6-c4-08,2,Thể dục,false
ctst6-c4-08,3,Toán,false
ctst6-c4-08,4,Khoa học,false
ctst6-c5-02,1,Bằng nhau,false
ctst6-c5-02,2,4/7,true
ctst6-c5-02,3,1/6,false
ctst6-c5-03,1,6/8,false
ctst6-c5-03,2,3/4,true
ctst6-c5-03,3,5/6,false
ctst6-c5-04,1,Đúng,true
ctst6-c5-04,2,Sai,false
ctst6-c5-06,1,7/9,false
ctst6-c5-06,2,5/6,true
ctst6-c5-06,3,Bằng nhau,false
ctst6-c5-07,1,10/12,false
ctst6-c5-07,2,8/7,false
ctst6-c5-07,3,6/5,true
ctst6-c5-07,4,12/10,false
ctst6-c5-08,1,Đúng,true
ctst6-c5-08,2,Sai,false
ctst6-c6-01,1,16,false
ctst6-c6-01,2,"17,1",false
ctst6-c6-01,3,18,false
ctst6-c6-01,4,17,true
ctst6-c6-03,1,90,false
ctst6-c6-03,2,80,false
ctst6-c6-03,3,40,true
ctst6-c6-03,4,41,false
ctst6-c6-04,1,Đúng,false
ctst6-c6-04,2,Sai,true
ctst6-c6-05,1,"8,2",true
ctst6-c6-05,2,"9,2",false
ctst6-c6-05,3,"7,2",false
ctst6-c6-05,4,"8,3",false
ctst6-c6-07,1,"18,5",false
ctst6-c6-07,2,"9,25",true
ctst6-c6-07,3,"10,25",false
ctst6-c6-07,4,"14,25",false
ctst6-c6-08,1,Đúng,true
ctst6-c6-08,2,Sai,false
ctst6-c7-01,1,4,true
ctst6-c7-01,2,1,false
ctst6-c7-01,3,3,false
ctst6-c7-01,4,2,false
ctst6-c7-02,1,Đúng,false
ctst6-c7-02,2,Sai,true
ctst6-c7-03,1,Đúng,false
ctst6-c7-03,2,Sai,true
ctst6-c7-05,1,1,false
ctst6-c7-05,2,Vô số,true
