ExerciseKey,QuestionKey,Score
kntt6-ex-c1-lt,kntt6-c1-01,1
kntt6-ex-c1-lt,kntt6-c1-02,1
kntt6-ex-c1-lt,kntt6-c1-03,1
kntt6-ex-c1-lt,kntt6-c1-04,1
kntt6-ex-c1-lt,kntt6-c1-05,1
kntt6-ex-c1-lt,kntt6-c1-06,1
kntt6-ex-c1-lt,kntt6-c1-07,1
kntt6-ex-c1-lt,kntt6-c1-08,1
kntt6-ex-c1-lt,kntt6-c1-09,1
kntt6-ex-c1-lt,kntt6-c1-10,1
kntt6-ex-c1-lt,kntt6-c1-11,1
kntt6-ex-c1-lt,kntt6-c1-12,1
kntt6-ex-c1-lt,kntt6-c1-13,1
kntt6-ex-c1-lt,kntt6-c1-14,1
kntt6-ex-c1-lt,kntt6-c1-15,1
kntt6-ex-c1-lt,kntt6-c1-16,1
kntt6-ex-c1-bt,kntt6-c1-01,1
kntt6-ex-c1-bt,kntt6-c1-02,1
kntt6-ex-c1-bt,kntt6-c1-03,1
kntt6-ex-c1-bt,kntt6-c1-04,1
kntt6-ex-c1-bt,kntt6-c1-05,1
kntt6-ex-c1-bt,kntt6-c1-06,1
kntt6-ex-c1-bt,kntt6-c1-07,1
kntt6-ex-c1-bt,kntt6-c1-08,1
kntt6-ex-c1-kt15,kntt6-c1-01,1
kntt6-ex-c1-kt15,kntt6-c1-02,1
kntt6-ex-c1-kt15,kntt6-c1-03,1
kntt6-ex-c1-kt15,kntt6-c1-04,1
kntt6-ex-c1-kt15,kntt6-c1-05,1
kntt6-ex-c1-kt15,kntt6-c1-06,1
kntt6-ex-c1-kt15,kntt6-c1-07,1
kntt6-ex-c1-kt15,kntt6-c1-08,1
kntt6-ex-c1-kt15,kntt6-c1-09,1
kntt6-ex-c1-kt15,kntt6-c1-10,1
kntt6-ex-c1-kt45,kntt6-c1-01,1
kntt6-ex-c1-kt45,kntt6-c1-02,1
kntt6-ex-c1-kt45,kntt6-c1-03,1
kntt6-ex-c1-kt45,kntt6-c1-04,1
kntt6-ex-c1-kt45,kntt6-c1-05,1
kntt6-ex-c1-kt45,kntt6-c1-06,1
kntt6-ex-c1-kt45,kntt6-c1-07,1
kntt6-ex-c1-kt45,kntt6-c1-08,1
kntt6-ex-c1-kt45,kntt6-c1-09,1
kntt6-ex-c1-kt45,kntt6-c1-10,1
kntt6-ex-c1-kt45,kntt6-c1-11,1
kntt6-ex-c1-kt45,kntt6-c1-12,1
kntt6-ex-c1-kt45,kntt6-c1-13,1
kntt6-ex-c1-kt45,kntt6-c1-14,1
kntt6-ex-c1-kt45,kntt6-c1-15,1
kntt6-ex-c1-kt45,kntt6-c1-16,1
kntt6-ex-c2-lt,kntt6-c2-01,1
kntt6-ex-c2-lt,kntt6-c2-02,1
kntt6-ex-c2-lt,kntt6-c2-03,1
kntt6-ex-c2-lt,kntt6-c2-04,1
kntt6-ex-c2-lt,kntt6-c2-05,1
kntt6-ex-c2-lt,kntt6-c2-06,1
kntt6-ex-c2-lt,kntt6-c2-07,1
kntt6-ex-c2-lt,kntt6-c2-08,1
kntt6-ex-c2-lt,kntt6-c2-09,1
kntt6-ex-c2-lt,kntt6-c2-10,1
kntt6-ex-c2-lt,kntt6-c2-11,1
kntt6-ex-c2-lt,kntt6-c2-12,1
kntt6-ex-c2-lt,kntt6-c2-13,1
kntt6-ex-c2-lt,kntt6-c2-14,1
kntt6-ex-c2-lt,kntt6-c2-15,1
kntt6-ex-c2-lt,kntt6-c2-16,1
kntt6-ex-c2-bt,kntt6-c2-01,1
kntt6-ex-c2-bt,kntt6-c2-02,1
kntt6-ex-c2-bt,kntt6-c2-03,1
kntt6-ex-c2-bt,kntt6-c2-04,1
kntt6-ex-c2-bt,kntt6-c2-05,1
kntt6-ex-c2-bt,kntt6-c2-06,1
kntt6-ex-c2-bt,kntt6-c2-07,1
kntt6-ex-c2-bt,kntt6-c2-08,1
kntt6-ex-c2-kt15,kntt6-c2-01,1
kntt6-ex-c2-kt15,kntt6-c2-02,1
kntt6-ex-c2-kt15,kntt6-c2-03,1
kntt6-ex-c2-kt15,kntt6-c2-04,1
kntt6-ex-c2-kt15,kntt6-c2-05,1
kntt6-ex-c2-kt15,kntt6-c2-06,1
kntt6-ex-c2-kt15,kntt6-c2-07,1
kntt6-ex-c2-kt15,kntt6-c2-08,1
kntt6-ex-c2-kt15,kntt6-c2-09,1
kntt6-ex-c2-kt15,kntt6-c2-10,1
kntt6-ex-c2-kt45,kntt6-c2-01,1
kntt6-ex-c2-kt45,kntt6-c2-02,1
kntt6-ex-c2-kt45,kntt6-c2-03,1
kntt6-ex-c2-kt45,kntt6-c2-04,1
kntt6-ex-c2-kt45,kntt6-c2-05,1
kntt6-ex-c2-kt45,kntt6-c2-06,1
kntt6-ex-c2-kt45,kntt6-c2-07,1
kntt6-ex-c2-kt45,kntt6-c2-08,1
kntt6-ex-c2-kt45,kntt6-c2-09,1
kntt6-ex-c2-kt45,kntt6-c2-10,1
kntt6-ex-c2-kt45,kntt6-c2-11,1
kntt6-ex-c2-kt45,kntt6-c2-12,1
kntt6-ex-c2-kt45,kntt6-c2-13,1
kntt6-ex-c2-kt45,kntt6-c2-14,1
kntt6-ex-c2-kt45,kntt6-c2-15,1
kntt6-ex-c2-kt45,kntt6-c2-16,1
kntt6-ex-c3-lt,kntt6-c3-01,1
kntt6-ex-c3-lt,kntt6-c3-02,1
kntt6-ex-c3-lt,kntt6-c3-03,1
kntt6-ex-c3-lt,kntt6-c3-04,1
kntt6-ex-c3-lt,kntt6-c3-05,1
kntt6-ex-c3-lt,kntt6-c3-06,1
kntt6-ex-c3-lt,kntt6-c3-07,1
kntt6-ex-c3-lt,kntt6-c3-08,1
kntt6-ex-c3-lt,kntt6-c3-09,1
kntt6-ex-c3-lt,kntt6-c3-10,1
kntt6-ex-c3-lt,kntt6-c3-11,1
kntt6-ex-c3-lt,kntt6-c3-12,1
kntt6-ex-c3-lt,kntt6-c3-13,1
kntt6-ex-c3-lt,kntt6-c3-14,1
kntt6-ex-c3-lt,kntt6-c3-15,1
