QuestionKey,OrderIndex,OptionText,IsCorrect
kntt6-c1-01,1,23812,false
kntt6-c1-01,2,23819,false
kntt6-c1-01,3,23810,false
kntt6-c1-01,4,23814,true
kntt6-c1-02,1,Đúng,false
kntt6-c1-02,2,Sai,true
kntt6-c1-04,1,18,false
kntt6-c1-04,2,222,false
kntt6-c1-04,3,210,false
kntt6-c1-04,4,216,true
kntt6-c1-05,1,607,false
kntt6-c1-05,2,616,false
kntt6-c1-05,3,613,false
kntt6-c1-05,4,612,true
kntt6-c1-06,1,Đúng,false
kntt6-c1-06,2,Sai,true
kntt6-c1-08,1,130,false
kntt6-c1-08,2,15,false
kntt6-c1-08,3,120,false
kntt6-c1-08,4,125,true
kntt6-c1-09,1,24860,false
kntt6-c1-09,2,24864,false
kntt6-c1-09,3,24869,false
kntt6-c1-09,4,24863,true
kntt6-c1-10,1,Đúng,true
kntt6-c1-10,2,Sai,false
kntt6-c1-12,1,12,false
kntt6-c1-12,2,36,true
kntt6-c1-12,3,30,false
kntt6-c1-12,4,42,false
kntt6-c1-13,1,117467,true
kntt6-c1-13,2,117469,false
kntt6-c1-13,3,117463,false
kntt6-c1-13,4,117460,false
kntt6-c1-14,1,Đúng,false
kntt6-c1-14,2,Sai,true
kntt6-c1-16,1,260,false
kntt6-c1-16,2,16,false
kntt6-c1-16,3,256,true
kntt6-c1-16,4,252,false
kntt6-c2-01,1,Đúng,true
kntt6-c2-01,2,Sai,false
kntt6-c2-02,1,13,true
kntt6-c2-02,2,27,false
kntt6-c2-02,3,4,false
kntt6-c2-02,4,6,false
kntt6-c2-04,1,8,false
kntt6-c2-04,2,1,true
kntt6-c2-04,3,4,false
kntt6-c2-04,4,5,false
kntt6-c2-05,1,Đúng,false
kntt6-c2-05,2,Sai,true
kntt6-c2-06,1,27,false
kntt6-c2-06,2,5,true
kntt6-c2-06,3,12,false
kntt6-c2-06,4,4,false
kntt6-c2-08,1,106,false
kntt6-c2-08,2,104,false
kntt6-c2-08,3,99,true
kntt6-c2-08,4,93,false
kntt6-c2-09,1,Đúng,true
kntt6-c2-09,2,Sai,false
kntt6-c2-10,1,8,false
kntt6-c2-10,2,10,false
kntt6-c2-10,3,19,true
kntt6-c2-10,4,21,false
kntt6-c2-12,1,102,true
kntt6-c2-12,2,105,false
kntt6-c2-12,3,98,false
kntt6-c2-12,4,108,false
kntt6-c2-13,1,Đúng,false
kntt6-c2-13,2,Sai,true
kntt6-c2-14,1,12,false
kntt6-c2-14,2,27,false
kntt6-c2-14,3,5,true
kntt6-c2-14,4,10,false
kntt6-c2-16,1,63,false
kntt6-c2-16,2,52,false
kntt6-c2-16,3,62,false
kntt6-c2-16,4,60,true
kntt6-c3-01,1,-47,true
kntt6-c3-01,2,-39,false
kntt6-c3-01,3,-41,false
kntt6-c3-01,4,-44,false
kntt6-c3-02,1,Đúng,false
kntt6-c3-02,2,Sai,true
kntt6-c3-04,1,-4°C,false
kntt6-c3-04,2,2°C,false
kntt6-c3-04,3,-9°C,false
kntt6-c3-04,4,-10°C,true
kntt6-c3-05,1,-4,false
kntt6-c3-05,2,-3,false
kntt6-c3-05,3,-10,false
kntt6-c3-05,4,-5,true
kntt6-c3-06,1,Đúng,true
kntt6-c3-06,2,Sai,false
kntt6-c3-08,1,8°C,false
kntt6-c3-08,2,-14°C,true
kntt6-c3-08,3,-3°C,false
kntt6-c3-08,4,-13°C,false
kntt6-c3-09,1,35,true
kntt6-c3-09,2,31,false
kntt6-c3-09,3,37,false
kntt6-c3-09,4,43,false
kntt6-c3-10,1,Đúng,true
kntt6-c3-10,2,Sai,false
kntt6-c3-12,1,1°C,false
kntt6-c3-12,2,-4°C,false
kntt6-c3-12,3,7°C,false
kntt6-c3-12,4,6°C,true
kntt6-c3-13,1,134,false
kntt6-c3-13,2,132,true
kntt6-c3-13,3,133,false
kntt6-c3-13,4,124,false
kntt6-c3-14,1,Đúng,true
kntt6-c3-14,2,Sai,false
kntt6-c3-16,1,-13°C,false
kntt6-c3-16,2,-6°C,false
kntt6-c3-16,3,2°C,false
kntt6-c3-16,4,1°C,true
kntt6-c4-01,1,19 cm²,false
kntt6-c4-01,2,38 cm²,false
kntt6-c4-01,3,90 cm²,true
kntt6-c4-01,4,99 cm²,false
kntt6-c4-02,1,Đúng,false
kntt6-c4-02,2,Sai,true
kntt6-c4-04,1,36 cm²,true
kntt6-c4-04,2,72 cm²,false
kntt6-c4-04,3,22 cm²,false
kntt6-c4-04,4,40 cm²,false
kntt6-c4-05,1,24 cm²,false
kntt6-c4-05,2,135 cm²,true
kntt6-c4-05,3,48 cm²,false
kntt6-c4-05,4,150 cm²,false
kntt6-c4-06,1,Đúng,true
kntt6-c4-06,2,Sai,false
kntt6-c4-08,1,418 cm²,false
kntt6-c4-08,2,49 cm²,false
kntt6-c4-08,3,220 cm²,false
kntt6-c4-08,4,209 cm²,true
kntt6-c4-09,1,29 cm²,false
kntt6-c4-09,2,204 cm²,true
kntt6-c4-09,3,221 cm²,false
kntt6-c4-09,4,58 cm²,false
